"Form","FormName","Batch","NumBatch","SA","SB","ST","SRperc","ZeroShearVisc","YieldStress","Viscosity","ElasticMod","ViscMod","TanDelta","pH","AUC"
"Reference","Daivodet30g","A53211","B7",79444,57062,22382,28.2,729850,514.2,9.8,62660,43270,0.691,7.69,299676
"Reference","Daivodet30g","A53211","B7",80158,56792,23366,29.1,681870,601.2,8.7,57472,38304,0.666,7.62,315850
"Reference","Daivodet30g","A53211","B7",80701,56878,23824,29.5,657560,564.3,9.2,55812,38123,0.683,7.68,338096
"Reference","Daivodet30g","A53211","B7",82052,58333,23719,28.9,703110,523.5,8.7,52022,36066,0.693,7.64,323709
"Reference","Daivodet30g","A53211","B7",80595,57099,23495,29.2,680950,610.4,9.1,54481,38180,0.701,7.68,318245
"Reference","Daivodet30g","A53211","B7",80345,56457,23888,29.7,591990,578.1,8.8,55943,39478,0.706,7.67,332073
"Reference","Daivodet30g","A53211","B7",79654,55748,23906,30,645580,546.5,8.9,59769,40237,0.673,7.63,336643
"Reference","Daivodet30g","A45843","B8",70309,51262,19047,27.1,839980,517.3,8.59,58460,38686,0.662,7.71,356484
"Reference","Daivodet30g","A45843","B8",70360,52643,17717,25.2,779980,560.2,8.05,56971,37911,0.665,7.78,347010
"Reference","Daivodet30g","A45843","B8",71809,51382,20427,28.4,712780,578.3,8.4,59223,38776,0.655,7.75,352714
"Reference","Daivodet30g","A45843","B8",69620,51505,18115,26,717580,545.4,8.41,54335,36484,0.671,7.76,365147
"Reference","Daivodet30g","A45843","B8",69983,51797,18186,26,739780,546.3,8.41,63046,42572,0.675,7.77,347010
"Reference","Daivodet30g","A45843","B8",70258,52147,18112,25.8,644530,540.1,8.6,53819,35188,0.654,7.79,354977
"Reference","Daivodet30g","A45843","B8",69822,49741,20081,28.8,755085,555.3,8.35,56887,38363,0.674,7.8,365663
"Reference","Daivodet30g","A45843","B8",70374,50499,19874,28.2,737850,548.2,8.45,59043,38465,0.651,7.76,354471
"Reference","Daivodet30g","A45843","B8",71291,52164,19128,26.8,744070,565.2,8.11,51026,34171,0.67,7.74,356160
"Reference","Daivodet30g","A45843","B8",69033,48249,20784,30.1,702410,571.3,8.27,53152,34966,0.658,7.89,358005
"Reference","Daivodet30g","A45843","B8",69488,51141,18347,26.4,745450,532.3,8.27,56407,37080,0.657,7.73,362688
"Reference","Daivodet30g","A45843","B8",70683,50644,20039,28.4,820940,512.4,8.26,65520,42844,0.654,7.75,357259
"Reference","Daivodet30g","A56687","B9",90626,54300,36326,40.1,768370,584.3,9.6,59543,41531,0.697,7.85,292922
"Reference","Daivodet30g","A56687","B9",86916,51762,35153,40.4,718070,564.2,9.4,69562,48391,0.696,7.84,328043
"Reference","Daivodet30g","A56687","B9",88915,53217,35698,40.1,718980,559.1,9.7,63872,44712,0.7,7.86,350392
"Reference","Daivodet30g","A56687","B9",92651,55946,36705,39.6,726270,560.2,9.9,65779,45652,0.694,7.84,336785
"Reference","Daivodet30g","A56687","B9",93578,55965,37613,40.2,724360,578.9,9.3,64783,44018,0.679,7.82,330959
"Reference","Daivodet30g","A56687","B9",88627,53916,34711,39.2,738550,580.1,9.5,69470,47906,0.69,7.81,326600
"Reference","Daivodet30g","A56687","B9",87874,52207,35667,40.6,693890,564.3,9.6,65851,44820,0.681,7.83,341689
"Reference","Daivodet30g","A56687","B9",87765,52887,34877,39.7,782160,564.2,9.7,63933,44255,0.692,7.84,342219
"Reference","Daivodet30g","A56687","B9",88915,53217,35698,40.1,693920,558.1,9.1,58627,41493,0.708,7.85,332829
"Reference","Daivodet30g","A56687","B9",89210,53424,35786,40.1,621020,559.2,9.4,61105,41422,0.678,7.86,319556
"Reference","Daivodet30g","A56687","B9",92651,55946,36705,39.6,663060,571.3,9.2,75350,50778,0.674,7.9,343608
"Reference","Daivodet30g","A56687","B9",89482,54115,35367,39.5,615410,563.2,9.3,61595,41796,0.679,7.88,329118
"Reference","Daivodet30g","A67822","B10",83285,59941,23344,28,601980,514.2,10.09,50262,34605,0.688,7.89,338366
"Reference","Daivodet30g","A67822","B10",85193,62229,22964,27,601660,555.2,10.32,57761,40132,0.695,8.01,338042
"Reference","Daivodet30g","A67822","B10",84749,61789,22960,27.1,595860,584.3,9.8,59747,40904,0.685,8.02,307937
"Reference","Daivodet30g","A67822","B10",85761,64273,21489,25.1,565910,525.3,9.96,54596,37407,0.685,7.9,326831
"Reference","Daivodet30g","A67822","B10",88004,59726,28278,32.1,593330,536.5,9.83,58191,39750,0.683,7.58,336800
"Reference","Daivodet30g","A67822","B10",87723,62718,25005,28.5,568850,543.8,9.98,58294,41045,0.704,7.65,334822
"Reference","Daivodet30g","A67822","B10",84782,55733,29049,34.3,741600,502.3,10.2,57779,39951,0.691,8.02,340707
"Reference","Daivodet30g","A67822","B10",87328,58911,28417,32.5,667510,545.2,9.9,61943,42887,0.692,7.92,330517
"Reference","Daivodet30g","A67822","B10",85293,56263,29030,34,675450,565.3,9.72,63302,44453,0.702,7.68,320896
"Reference","Daivodet30g","A67822","B10",83649,53621,30028,35.9,712980,547.1,9.19,54819,37943,0.692,7.84,328907
"Reference","Daivodet30g","A67822","B10",83151,46444,36707,44.1,622860,554.2,9.99,64400,43832,0.681,7.93,333433
"Reference","Daivodet30g","A67822","B10",83667,55903,27765,33.2,665950,565.1,9.82,58549,40697,0.695,8,315693
