"Form","FormName","Batch","NumBatch","SA","SB","ST","SRperc","ZeroShearVisc","YieldStress","Viscosity","ElasticMod","ViscMod","TanDelta","pH","AUC","PC1VAR","PC2VAR"
"Reference","Daivodet60g","A66014","B1",88255,60612,27643,31.3,530220,500.2,9.73,46114,32887,0.713,7.86,353293,0.0524243707209444,1.65571042468185
"Reference","Daivodet60g","A66014","B1",85347,58367,26980,31.6,541410,489.3,9.98,45727,33259,0.727,7.88,337585,0.00456919199984915,1.81099780748533
"Reference","Daivodet60g","A66014","B1",82978,46159,36818,44.4,640720,498.2,10.09,51325,36565,0.712,7.9,354648,0.397069209545641,0.84013785790276
"Reference","Daivodet60g","A66014","B1",85917,58389,27528,32,542990,457.2,10.02,49209,34700,0.705,7.85,351379,0.173211119519728,1.18345611914423
"Reference","Daivodet60g","A66014","B1",82902,56717,26185,31.6,621160,500.1,9.53,45300,32031,0.707,7.88,351899,0.0118111594083471,1.10537534103185
"Reference","Daivodet60g","A66014","B1",83735,46425,37309,44.6,688780,476.1,9.46,46608,32329,0.694,7.65,353489,0.0522472392514875,0.412246658514719
"Reference","Daivodet60g","A66014","B1",83612,52951,30661,36.7,599560,443.5,9.58,43621,31023,0.711,7.8,354049,0.541524672717712,1.36401653699565
"Reference","Daivodet60g","A66014","B1",83591,48551,35040,41.9,520290,510.1,9.86,49004,34872,0.712,7.81,349719,0.0951933306006352,1.05138457106037
"Reference","Daivodet60g","A51886","B2",92282,58491,33791,36.6,651010,647.3,10.7,47047,33756,0.717,7.63,349243,1.32848834358211,1.42550713879287
"Reference","Daivodet60g","A51886","B2",91374,58177,33197,36.3,557290,579.9,10.09,45288,32937,0.727,7.65,343108,0.434234601244006,1.8119758119699
"Reference","Daivodet60g","A51886","B2",90100,56837,33263,36.9,568770,569.6,10.08,48650,35354,0.727,7.66,346195,0.580261212091976,1.4592647603853
"Reference","Daivodet60g","A51886","B2",95445,59164,36281,38,572200,603.3,10.08,45521,33228,0.73,7.64,337585,0.787460177340194,2.06256244368484
"Reference","Daivodet60g","A51886","B2",95100,60538,34562,36.3,621070,623.1,10.07,44309,31960,0.721,7.6,330959,1.03792038482137,1.80761442202426
"Reference","Daivodet60g","A51886","B2",87558,52043,35515,40.6,570330,527.5,10.49,42494,30994,0.729,7.65,326359,0.0523362870551913,1.94568262731214
"Reference","Daivodet60g","A51886","B2",92916,57410,35505,38.2,575350,535.3,9.09,38956,28319,0.727,7.67,326831,0.229127609792024,2.29516242334201
"Reference","Daivodet60g","A51886","B2",85753,52243,33510,39.1,573150,601.5,9.44,40683,29634,0.728,7.65,330267,0.171786705913961,1.63540789244587
"Reference","Daivodet60g","A51886","B2",87654,53620,34034,38.8,525590,545.3,10.39,44366,32714,0.737,7.64,333060,0.00793460576873928,1.94911557567253
"Reference","Daivodet60g","A51886","B2",89401,53482,35919,40.2,551160,551,10.21,54670,38919,0.712,7.62,334027,1.04375552515632,0.669674615034549
"Reference","Daivodet60g","A51886","B2",84031,49333,34698,41.3,557810,625.1,9.45,49995,36561,0.731,7.68,330350,0.452679114677658,0.839693511962056
"Reference","Daivodet60g","A51886","B2",95412,59452,35960,37.7,579980,614.3,9.62,46356,33269,0.718,7.65,324548,1.00863691981057,1.66386075697568
"Reference","Daivodet60g","A57973","B3",80764,52592,28172,34.9,488890,429.9,9.84,48528,33907,0.699,7.68,364445,0.698777149210351,0.612926296612898
"Reference","Daivodet60g","A57973","B3",80466,53197,27269,33.9,674650,476.2,9.06,46505,32969,0.709,7.69,358854,0.31746534765893,0.450801071100027
"Reference","Daivodet60g","A57973","B3",82340,54353,27987,34,643240,500.2,8.7,52648,37201,0.707,7.7,342195,0.310393329674237,0.00922789918161953
"Reference","Daivodet60g","A57973","B3",79241,52985,26256,33.1,579900,485.3,9.35,50781,36048,0.71,7.85,355143,0.0937550140231442,0.462902304908532
"Reference","Daivodet60g","A57973","B3",81783,52953,28830,35.3,577110,436.5,9.74,58717,41415,0.705,7.84,340501,0.661411683323542,0.0246875773609895
"Reference","Daivodet60g","A57973","B3",80774,51741,29033,35.9,548750,458.6,9.66,51923,36514,0.703,7.84,338567,0.105956001098968,0.473182764310127
"Reference","Daivodet60g","A57973","B3",84017,53629,30388,36.2,618640,455.2,9.61,50369,35619,0.707,7.81,350171,0.174866095783457,0.744262518115
"Reference","Daivodet60g","A57973","B3",85804,55886,29918,34.9,651940,501.3,9.75,47455,33783,0.712,7.79,352714,0.321420124230302,1.0847040936828
"Reference","Daivodet60g","A57973","B3",82868,53649,29220,35.3,630620,436.4,9.51,56694,39566,0.698,7.8,348070,0.609662133264917,0.0374453767822905
"Reference","Daivodet60g","A57973","B3",81894,53088,28806,35.2,606220,448.1,9.68,51151,35492,0.694,7.65,332721,0.259537029331258,0.098104156029489
"Reference","Daivodet60g","A57973","B3",83636,53789,29848,35.7,604360,464.2,9.63,52758,37319,0.707,7.82,352714,0.321666628056527,0.552083339029623
"Reference","Daivodet60g","A57973","B3",83921,53465,30456,36.3,668510,476.3,9.79,48435,34161,0.705,7.83,348365,0.354794460736459,0.826029022611767
"Reference","Daivodet60g","A51002","B4",95423,62826,32598,34.2,518980,488.5,9.15,38677,28261,0.731,7.95,351207,0.50043714702994,3.13850497633358
"Reference","Daivodet60g","A51002","B4",86323,57643,28681,33.2,542830,519.5,9.12,39728,28240,0.711,7.94,350348,0.518569146732741,1.96609988151449
"Reference","Daivodet60g","A51002","B4",90108,59902,30206,33.5,585390,514.2,10.09,42473,30483,0.718,7.85,344349,0.203763058759646,2.13284760278614
"Reference","Daivodet60g","A51002","B4",91242,59750,31492,34.5,489920,527.5,10.28,42792,30706,0.718,7.89,338155,0.163328949083533,2.40790366553112
"Reference","Daivodet60g","A51002","B4",93443,60066,33376,35.7,572010,520.4,9.37,41649,29681,0.713,7.8,339765,0.102929821539744,2.13153337869559
"Reference","Daivodet60g","A51002","B4",96360,66725,29636,30.8,589330,525.6,10.19,42697,31073,0.728,7.78,331616,0.672019699052198,2.59767238455241
"Reference","Daivodet60g","A51002","B4",92636,63541,29095,31.4,536160,522.3,10.12,47054,33987,0.722,7.81,334989,0.639414143940798,1.99454764518408
"Reference","Daivodet60g","A51002","B4",94394,63365,31029,32.9,603160,520.5,9.38,46498,33159,0.713,7.89,324047,0.867278268579983,1.86982347144563
"Reference","Daivodet60g","A51002","B4",93763,61822,31941,34.1,498130,502.5,9.12,55413,38792,0.7,7.84,327655,1.03367863496762,0.926291915517606
"Reference","Daivodet60g","A51002","B4",90739,60801,29939,33,589440,521.4,10.16,43057,30658,0.712,7.83,337423,0.446909463757486,1.98266487636132
"Reference","Daivodet60g","A51002","B4",94118,55760,38359,40.8,614890,513.4,9.32,35808,26301,0.734,7.89,349499,0.494141942174939,3.1354169509015
"Reference","Daivodet60g","A51002","B4",92151,54360,37792,41,602020,523.3,10.25,45623,31903,0.699,7.85,336609,0.753845337031252,1.68932652990691
